Name,Date,notes,Value,Change
DNX,2015-11-17,notes,229.21,DECREASED
JXG,2015-9-5,notes,794.3,INCREASED
IMN,2015-10-10,notes,288.19,DECREASED
DNL,2015-7-1,notes,905.46,NEW
XBO,2015-8-12,notes,390.31,DECREASED
IXX,2015-9-9,notes,434.40,INCREASED
LII,2015-8-12,notes,885.96,INCREASED
COF,2015-7-20,notes,882.39,INCREASED
NRA,2015-9-18,notes,856.46,DECREASED
INY,2015-7-2,notes,265.71,NEW
FZV,2015-7-10,notes,387.90,INCREASED
LLV,2015-10-16,notes,228.22,INCREASED
ISF,2015-7-15,notes,30.27,DECREASED
UBH,2015-7-15,notes,702.55,DECREASED
GRH,2015-8-18,notes,399.55,INCREASED
XBO,2015-7-18,notes,953.47,INCREASED
VVX,2015-7-5,notes,...,UNKNOWN
KTX,2015-11-15,notes,173.24,DECREASED
MQZ,2015-8-10,notes,728.46,INCREASED
WHL,2015-8-14,notes,446.73,INCREASED
IFM,2015-11-17,notes,258.5,DECREASED
ISF,2015-10-4,notes,340.23,INCREASED
DLV,2015-10-7,notes,344.63,DECREASED
SGT,2015-11-14,notes,579.27,DECREASED
XQN,2015-8-20,notes,Missing,UNKNOWN
TFQ,2015-9-1,notes,591.45,DECREASED
IQZ,2015-9-10,notes,9.17,DECREASED
VVX,2015-8-9,notes,123.78,DECREASED
GRH,2015-8-20,notes,unknown,UNKNOWN
NSJ,2015-10-18,notes,138.60,DECREASED
DEE,2015-9-20,notes,914.46,INCREASED
FZN,2015-7-20,notes,558.98,INCREASED
LVR,2015-9-16,notes,132.9,DECREASED
KZW,2015-10-19,notes,unknown,UNKNOWN
WHL,2015-8-19,notes,Not present,UNKNOWN
PEX,2015-8-1,notes,180.4,DECREASED
SIF,2015-11-20,notes,not there,UNKNOWN
TFQ,2015-7-18,notes,132.10,DECREASED
KZW,2015-10-5,notes,991.29,INCREASED
PUA,2015-9-5,notes,959.61,INCREASED
IFM,2015-9-6,notes,599.86,DECREASED
GRH,2015-10-2,notes,40.53,DECREASED
QBU,2015-9-13,notes,994.3,INCREASED
RCC,2015-8-16,notes,632.30,INCREASED
IES,2015-9-16,notes,670.39,INCREASED
KZW,2015-10-4,notes,264.91,DECREASED
TSM,2015-8-15,notes,Not applicable,UNKNOWN
DLV,2015-11-20,notes,58.7,DECREASED
DEE,2015-10-12,notes,191.71,DECREASED
BWS,2015-8-13,notes,701.96,INCREASED
PFT,2015-7-7,notes,906.39,INCREASED
PFF,2015-11-10,notes,890.29,INCREASED
XQN,2015-9-6,notes,430.79,INCREASED
XQN,2015-7-12,notes,911.25,INCREASED
GRH,2015-9-12,notes,652.88,INCREASED
WGX,2015-11-19,notes,315.51,DECREASED
JXG,2015-8-20,notes,750.16,INCREASED
GUC,2015-7-2,notes,377.21,DECREASED
ABU,2015-7-17,notes,870.90,INCREASED
JXG,2015-10-17,notes,90.47,DECREASED
FZN,2015-8-11,notes,779.48,INCREASED
BWS,2015-11-17,notes,530.39,DECREASED
IXX,2015-10-18,notes,887.39,INCREASED
MDH,2015-8-15,notes,929.85,INCREASED
LVR,2015-10-6,notes,...,UNKNOWN
BWS,2015-9-5,notes,449.91,DECREASED
DKM,2015-10-8,notes,896.36,INCREASED
DUO,2015-8-15,notes,183.98,INCREASED
KCT,2015-8-10,notes,998.15,INCREASED
BBL,2015-8-7,notes,419.13,DECREASED
QFX,2015-9-19,notes,UNKOWN,UNKNOWN
WYO,2015-10-17,notes,223.18,DECREASED
KZW,2015-9-16,notes,674.37,INCREASED
DKM,2015-10-18,notes,622.86,DECREASED
ZKG,2015-8-10,notes,772.79,INCREASED
DEE,2015-7-19,notes,600.88,DECREASED
DEE,2015-11-19,notes,NA,UNKNOWN
YRW,2015-11-5,notes,663.44,INCREASED
IES,2015-8-17,notes,717.32,INCREASED
SBH,2015-8-13,notes,263.21,DECREASED
FKS,2015-7-1,notes,362.90,NEW
IQZ,2015-7-12,notes,155.10,DECREASED
RTN,2015-10-17,notes,Not found,UNKNOWN
FZS,2015-11-17,notes,604.53,INCREASED
PFF,2015-9-9,notes,327.83,DECREASED
WGX,2015-10-17,notes,751.59,INCREASED
GUC,2015-7-11,notes,477.52,DECREASED
GUC,2015-8-20,notes,343.23,INCREASED
RNP,2015-11-10,notes,167.73,DECREASED
DNX,2015-10-17,notes,296.83,DECREASED
ZKG,2015-10-9,notes,999.6,INCREASED
KJJ,2015-7-18,notes,339.25,DECREASED
WHL,2015-10-8,notes,21.56,DECREASED
FFJ,2015-7-1,notes,77.28,NEW
RTN,2015-8-3,notes,319.33,DECREASED
SGT,2015-11-10,notes,808.13,INCREASED
ULI,2015-9-16,notes,773.18,INCREASED
TZA,2015-8-4,notes,684.64,INCREASED
KXO,2015-8-9,notes,465.37,INCREASED
LVR,2015-10-11,notes,not there,UNKNOWN
HSK,2015-8-9,notes,599.60,INCREASED
XKF,2015-8-15,notes,868.25,INCREASED
YPF,2015-7-14,notes,NA,UNKNOWN
PFT,2015-11-17,notes,889.5,INCREASED
XZZ,2015-9-7,notes,866.11,INCREASED
NRA,2015-7-9,notes,--,UNKNOWN
OBR,2015-8-18,notes,50.88,DECREASED
IXX,2015-7-17,notes,990.29,INCREASED
YRW,2015-7-6,notes,446.68,DECREASED
PEX,2015-8-18,notes,Missing,UNKNOWN
ABU,2015-9-9,notes,389.55,INCREASED
QLS,2015-7-2,notes,113.72,NEW
KXO,2015-7-7,notes,811.54,INCREASED
FZS,2015-10-17,notes,706.2,INCREASED
